CTID,OwnerCTID,PublisherCTID
ce-01d6d0f6-082a-486a-b9fd-95e868229698,ce-644275b9-0d5b-4088-a46a-88ec3c7328e5,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-01dd0a9a-4b67-4d2a-9d02-2eb169828e7b,ce-4e1d2e74-ce38-4366-bc19-c0aea426b68f,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-01e96ad1-2b9e-403c-8b33-9c08e6e89ec4,ce-ab5cf847-04f6-40ad-a54b-08e8bbfe700c,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0200375b-5c47-406d-9e29-8c13b4d15b9a,ce-160a75db-a039-4bf7-b4c8-479dcf243561,ce-160a75db-a039-4bf7-b4c8-479dcf243561
ce-020b1c3e-bc6b-4b71-8bb3-711b3b140343,ce-d1a06230-49db-47e8-a606-871f07ff4f30,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-021edf25-5d4c-47e6-b87e-7338599292c1,ce-43b0fc14-6029-4f95-beef-7a1ecb2695db,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-023e0a82-0268-43fb-b724-e28b48ff2db0,ce-285efb74-6df2-4e3d-8d6e-eca3456f004f,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-025b85fe-efc9-42fa-98f8-7339bd1f6e5f,ce-56314c8a-8b52-42a3-baba-e5d7a12b9938,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0268fb01-e7d9-4ef9-800d-4da360e79018,ce-71cd8489-246a-492b-a374-6ea5ff905579,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-027c74a6-e06d-463d-962f-10c315e9cef9,ce-8495198a-228b-4804-8e14-3f195d9a946b,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-028184b3-0a9b-4221-8250-be0399295179,ce-4e1d2e74-ce38-4366-bc19-c0aea426b68f,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-029236bb-e2e0-4682-8b3a-4893481a444d,ce-0572530c-4694-4c6c-b37d-1f3fe181c5dc,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-02933415-af89-4010-a34d-b9aa7f4d7520,ce-1abb640d-1a57-4ad2-b840-0f987b099ecc,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-02998552-a344-4147-8beb-e1f060d5d0d4,ce-4e1d2e74-ce38-4366-bc19-c0aea426b68f,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-02d22f4e-549b-425c-abdd-2d7239811bc5,ce-4e1d2e74-ce38-4366-bc19-c0aea426b68f,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0306713e-1557-4129-b57a-1abe46606763,ce-160a75db-a039-4bf7-b4c8-479dcf243561,ce-160a75db-a039-4bf7-b4c8-479dcf243561
ce-030e1d66-9786-43d6-a0c7-0df2fef2b2d7,ce-6686c066-0948-4c0b-8fb0-43c6af625a70,ce-6686c066-0948-4c0b-8fb0-43c6af625a70
ce-03206b37-0f74-4cf3-8e44-196e6172400b,ce-ab5cf847-04f6-40ad-a54b-08e8bbfe700c,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-03360e09-74e1-4195-8204-865cd43ff37e,ce-644275b9-0d5b-4088-a46a-88ec3c7328e5,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-034d50ee-e040-4a0a-9264-0080313aca44,ce-8ddbf031-bad6-4b19-b726-066d5f71ad01,ce-8ddbf031-bad6-4b19-b726-066d5f71ad01
ce-035ac5df-04a7-4d96-bb80-c247dc6af249,ce-ab5cf847-04f6-40ad-a54b-08e8bbfe700c,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-036d082d-d80e-41a7-99a0-2d63a4ad3a4a,ce-036d082d-d80e-41a7-99a0-2d63a4ad3a4a,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-037b0de1-712c-4d22-ae60-6b625db4975e,ce-426b285f-0c08-4c56-b669-03d22a79d550,ce-426b285f-0c08-4c56-b669-03d22a79d550
ce-037f0c2f-f13e-404b-bd30-5bc7b05521c3,ce-deefcec0-480d-4c3c-93fe-acb4521c9eea,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-03846da2-28cd-4e61-90dd-d7accbcc5736,ce-074c4933-e118-40ae-a430-28b42ea4ff71,ce-074c4933-e118-40ae-a430-28b42ea4ff71
ce-03917722-ac64-4e07-945b-8afee3cc3829,ce-71cd8489-246a-492b-a374-6ea5ff905579,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-03957a4d-aad8-4238-aa86-4ea8b051816a,ce-8ddbf031-bad6-4b19-b726-066d5f71ad01,ce-8ddbf031-bad6-4b19-b726-066d5f71ad01
ce-03a48323-79f9-4c71-a572-f0f7702ecc51,ce-160a75db-a039-4bf7-b4c8-479dcf243561,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-03aeb550-05d2-4f66-b059-7771b1735905,ce-67c20b04-d34d-4201-ab1a-e058ca08b37e,ce-67c20b04-d34d-4201-ab1a-e058ca08b37e
ce-03af3bfa-1e21-41c3-b388-3581fcb10852,ce-ab5cf847-04f6-40ad-a54b-08e8bbfe700c,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-03d1b11a-6fb7-4e07-8442-126fd2a9dc54,ce-886e0dba-db0a-40f9-9067-1b282853d3fd,ce-886e0dba-db0a-40f9-9067-1b282853d3fd
ce-03ea0b2b-7295-40f4-a2cd-2c8ee60f200b,ce-ab5cf847-04f6-40ad-a54b-08e8bbfe700c,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-04084de0-6d95-4d85-9af5-9dced20b4ed4,ce-886e0dba-db0a-40f9-9067-1b282853d3fd,ce-886e0dba-db0a-40f9-9067-1b282853d3fd
ce-0412a3ba-3d2a-44a3-abaa-765aeb3bfa9d,ce-f4faa803-4990-4a9b-b0f4-0de46b995492,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-041541bf-e615-4f3c-9cad-c1691a6c28db,ce-041541bf-e615-4f3c-9cad-c1691a6c28db,ce-041541bf-e615-4f3c-9cad-c1691a6c28db
ce-041cda26-98da-48ac-b218-ed338f4ad1eb,ce-1abb6c52-0f8c-4b17-9f89-7e9807673106,ce-1abb6c52-0f8c-4b17-9f89-7e9807673106
ce-04376edf-4a19-4cf6-bb9a-a5cf839845ec,ce-36adee66-17a0-41f6-b862-d0d49c1a595c,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0442ef10-9204-4160-856d-6ab2895b7422,ce-6be1eaf2-964f-48bd-89e4-da1b9abc000f,ce-6be1eaf2-964f-48bd-89e4-da1b9abc000f
ce-044488a8-f5d0-418c-ac16-e4be7bd94bf3,ce-8495198a-228b-4804-8e14-3f195d9a946b,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-0446a155-1cfd-45f1-a2cf-c24c01d6e65e,ce-1abb6c52-0f8c-4b17-9f89-7e9807673106,ce-1abb6c52-0f8c-4b17-9f89-7e9807673106
ce-04772741-15d3-4c9f-80f7-8263aa44ed6d,ce-a31949a4-4c42-440c-9c69-2790ea74adab,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-048d86e5-82cb-4150-b657-10e560af7c13,ce-36adee66-17a0-41f6-b862-d0d49c1a595c,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-049438ad-3821-4466-ba7c-e0542f679137,ce-50c765d6-e3c6-48a6-9b1c-5b96961b705a,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-04960e6a-c8ef-4e18-af1e-1d24542c6ee6,ce-04960e6a-c8ef-4e18-af1e-1d24542c6ee6,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-04d0a49b-00ea-4320-b273-46889e4da6da,ce-886e0dba-db0a-40f9-9067-1b282853d3fd,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-04d5d2bc-ffbb-44f8-87ed-3a99cce14b43,ce-4e1d2e74-ce38-4366-bc19-c0aea426b68f,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-04da3ef6-bce7-4374-b8ca-19f1c9514470,ce-644275b9-0d5b-4088-a46a-88ec3c7328e5,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-04e2ffa9-1e79-4dd8-8e3d-3f45035fe56c,ce-67c45100-b6d7-413d-9924-f0d5adb825f1,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-04e7780e-95bc-48ad-8b8a-a8e0854a9052,ce-f5cba673-fca2-469c-a13f-b1c036d599bb,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-04e832ff-4807-41b3-b394-784c31d86310,ce-8abb336a-c035-4294-b6b8-c078ceeee7be,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-04ff5317-dc6a-4b8e-9389-5790f626d2f9,ce-092da299-4bb5-43da-9a8d-b5946e05ce62,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-050165fe-b1b8-4a33-91a4-f9d8314a1c4c,ce-4e1d2e74-ce38-4366-bc19-c0aea426b68f,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-050e9ad1-39d1-4118-8768-ee3a2f7056db,ce-050e9ad1-39d1-4118-8768-ee3a2f7056db,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-051bc6a7-8b65-4568-98b2-ae37def4027e,ce-3e53b58b-3b57-44a0-97d3-3c6eb3e35f7c,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-05237718-f6dd-4478-80cb-1443c3e7663c,ce-6f0674e4-67c4-4939-9800-a610e658f212,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
